url_length,num_dots,num_special_chars,has_at_symbol,has_hyphen,is_ip,has_redirect,num_subdomains,is_shortened,url_entropy,has_suspicious_keyword,is_brand_spoofed,domain_age,domain_expiry,whois_private,https_used,result
34,2,3,0,0,0,1,0,0,3.895423870280315,0,0,-1,-1,-1,-1,1
40,1,6,0,0,0,1,0,0,4.003701696057348,0,0,7438,231,1,0,0
165,3,14,0,0,0,1,0,0,5.487221294715092,1,0,-1,-1,-1,-1,0
78,2,10,0,0,0,1,0,0,4.221174899750781,0,0,-1,-1,1,0,0
32,1,4,0,0,0,1,0,0,3.952819531114783,0,0,-1,-1,-1,-1,0
47,2,5,0,0,0,1,0,0,4.384509735514,0,0,10316,1004,1,1,1
40,3,5,0,0,0,1,0,0,4.065311532225103,0,0,10610,143,1,-1,0
57,3,9,0,0,0,1,0,0,4.505719128344661,0,0,8356,1140,1,1,1
90,2,13,0,0,0,1,0,0,4.596935390981612,0,0,9819,406,1,1,1
31,4,3,0,0,1,1,0,0,4.0022680844408445,0,0,-1,-1,1,0,0
43,1,7,0,0,0,1,0,0,4.09175131318456,0,0,-1,-1,1,-1,0
43,3,4,0,1,0,1,0,0,4.286275219617124,0,0,-1,-1,-1,-1,1
61,2,7,0,0,0,1,0,0,4.742155477497019,0,0,10206,2943,1,1,1
40,2,4,0,0,0,1,0,0,4.353055907333276,0,0,7557,477,1,1,1
48,4,6,0,0,0,1,0,0,3.880994793599888,0,0,-1,-1,-1,-1,0
62,3,9,0,1,0,1,0,0,4.482286939964594,0,0,7490,179,1,1,1
38,2,5,0,0,0,1,0,0,3.9328178173636616,0,0,-1,-1,-1,-1,0
66,2,7,0,0,0,1,0,0,4.680556718322926,0,0,10206,2943,1,1,1
39,3,3,0,0,0,1,0,0,3.970422410781626,0,0,9179,1778,1,1,1
136,2,21,0,0,0,1,0,0,4.471699930460908,0,0,6480,94,1,-1,1
93,2,13,0,0,0,1,0,0,4.6094568969158844,0,0,6570,369,1,1,1
29,1,3,0,0,0,1,0,0,3.6595365985012456,0,0,-1,-1,1,-1,0
71,3,9,1,0,0,1,0,0,4.156789994344576,0,0,3633,19,1,0,0
26,2,4,0,1,0,1,0,0,3.8441065448145375,0,0,7196,473,1,1,1
183,3,26,0,0,0,1,0,0,5.126811158300291,0,0,-1,-1,1,-1,0
30,2,3,0,0,0,1,0,0,3.964735178725505,0,0,5918,655,1,1,1
89,2,7,0,0,0,1,0,0,4.895270337201255,0,0,4855,265,1,0,0
50,3,6,0,0,0,1,0,0,4.431272380112911,0,0,7895,505,1,1,1
29,2,4,0,0,0,1,0,0,3.702471512219746,0,0,8423,706,0,1,1
115,2,15,0,0,0,1,0,0,4.489557561867803,0,0,6847,457,1,1,1
51,6,5,0,0,0,1,0,0,4.019410390524473,1,0,-1,-1,-1,0,0
88,2,8,0,0,0,1,0,0,4.771234460966981,0,0,-1,-1,-1,-1,0
27,1,3,0,0,0,1,0,0,4.208410187268525,0,0,-1,-1,-1,-1,0
71,3,4,0,0,0,1,0,0,4.47318990204472,1,0,5367,111,1,-1,0
31,2,3,0,0,0,1,0,0,4.018081793978686,0,0,6029,689,1,1,1
44,1,5,0,0,0,1,0,0,4.016614721924478,0,0,9041,89,1,0,0
28,2,3,0,0,0,1,0,0,3.913799564605681,0,0,6012,1292,1,1,1
56,2,5,0,0,0,1,0,0,4.215650852240332,0,0,-1,-1,-1,-1,0
39,1,5,0,0,0,1,0,0,3.811454950775991,0,0,74,290,1,0,0
56,3,8,0,0,0,1,1,0,4.625554752997175,0,0,8162,238,1,-1,1
82,3,7,0,0,0,1,0,0,4.591891414355744,0,0,1677,148,1,1,1
93,5,5,0,0,0,1,0,0,4.600964193625533,0,0,-1,-1,-1,-1,0
43,2,6,0,0,0,1,0,0,4.664523184884343,0,0,7326,343,1,1,1
322,14,32,1,0,0,1,0,0,5.025466239932244,0,0,-1,-1,1,-1,0
37,3,3,0,0,0,1,1,0,4.026360459931184,0,0,10064,161,1,-1,1
62,6,7,0,0,0,1,0,0,4.368651753551421,0,0,6121,87,1,-1,0
122,3,12,0,0,0,1,0,0,5.084117158337232,0,0,4139,243,1,-1,0
